strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
Thin Mint GSC,Hybrid,THC 18%,4.5,(786),529 people reported 4152 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['30% of people report feeling creative'],['29% of people say it helps with depression'],['5% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['53% of people report feeling euphoric'],,['56% of people report feeling happy'],,,['24% of people say it helps with pain'],['4% of people report feeling paranoid'],['32% of people say it helps with stress'],['49% of people report feeling uplifted'],,,,,['64% of people report feeling relaxed'],,,,,,,,['4% of people report feeling anxious'],,['17% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Think Different,Hybrid,Unavailable,4.4,(30),26 people reported 171 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['11% of people say it helps with anxiety'],['50% of people report feeling creative'],['19% of people say it helps with depression'],['3% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['34% of people report feeling dry mouth'],['46% of people report feeling euphoric'],,['69% of people report feeling happy'],,,['19% of people say it helps with pain'],['11% of people report feeling paranoid'],['30% of people say it helps with stress'],,,,,,['46% of people report feeling relaxed'],['53% of people report feeling energetic'],,,,,,,,,,,,,,,,,['11% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,
Thor's Hammer,Sativa,THC 23%,4.1,(24),17 people reported 134 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['35% of people say it helps with anxiety'],['47% of people report feeling creative'],['29% of people say it helps with depression'],['11% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['58% of people report feeling dry mouth'],['70% of people report feeling euphoric'],,['47% of people report feeling happy'],,,['23% of people say it helps with pain'],['5% of people report feeling paranoid'],['41% of people say it helps with stress'],,,['23% of people say it helps with fatigue'],,,,['52% of people report feeling energetic'],,,,,,,['11% of people report feeling anxious'],,,['47% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Blue Kings,Hybrid,THC 22%,4.4,(5),5 people reported 52 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['60% of people say it helps with anxiety'],['40% of people report feeling creative'],['60% of people say it helps with depression'],,['40% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],,,,['20% of people report feeling headache'],['60% of people say it helps with insomnia'],,,['40% of people say it helps with stress'],,,,['40% of people report feeling giggly'],,['100% of people report feeling relaxed'],,,,,['80% of people report feeling sleepy'],['40% of people report feeling tingly'],,['20% of people report feeling anxious'],,['40% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throwback Kush,Indica,THC 20%,4.3,(3),3 people reported 8 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['66% of people report feeling dry mouth'],,,['33% of people report feeling happy'],,,,,,,,,,,['66% of people report feeling relaxed'],,,,,['33% of people report feeling sleepy'],,['66% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thug Life #4,Hybrid,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderbird Rose,Sativa,Unavailable,4.8,(16),11 people reported 79 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['36% of people say it helps with anxiety'],['54% of people report feeling creative'],['27% of people say it helps with depression'],,,['9% of people report feeling dry mouth'],['81% of people report feeling euphoric'],['45% of people report feeling focused'],['45% of people report feeling happy'],,,['27% of people say it helps with pain'],,['45% of people say it helps with stress'],['63% of people report feeling uplifted'],,,,,,,,,,,,,,['27% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderbud,Unavailable,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderstruck,Sativa,Unavailable,4.8,(16),11 people reported 114 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['45% of people say it helps with anxiety'],,['27% of people say it helps with depression'],,,['9% of people report feeling dry mouth'],['36% of people report feeling euphoric'],['45% of people report feeling focused'],['54% of people report feeling happy'],['9% of people report feeling headache'],,['45% of people say it helps with pain'],,['36% of people say it helps with stress'],['54% of people report feeling uplifted'],,,,,['72% of people report feeling relaxed'],,,,,,,,,['36% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tickle Kush,Hybrid,THC 19%,4.4,(10),5 people reported 33 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['60% of people say it helps with anxiety'],['60% of people report feeling creative'],,,['20% of people report feeling dry eyes'],['40% of people report feeling dry mouth'],['60% of people report feeling euphoric'],,['80% of people report feeling happy'],,,['20% of people say it helps with pain'],,['20% of people say it helps with stress'],['40% of people report feeling uplifted'],['20% of people say it helps with add/adhd'],,,,,,,,,,,['60% of people report feeling hungry'],,,,,,,,,,,,,,,,['20% of people say it helps with arthritis'],,,,,,,,,,,,,,,
Tidal Wave,Hybrid,THC 19%,4.0,(5),4 people reported 29 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['75% of people say it helps with anxiety'],['50% of people report feeling creative'],['75% of people say it helps with depression'],['25% of people report feeling dizzy'],,,['50% of people report feeling euphoric'],['50% of people report feeling focused'],,,,['25% of people say it helps with pain'],,['75% of people say it helps with stress'],['75% of people report feeling uplifted'],,,,,,['75% of people report feeling energetic'],,,,,,,,,,,['25% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger King,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Punch,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Woods,Hybrid,Unavailable,4.1,(12),6 people reported 34 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['16% of people say it helps with depression'],,,['16% of people report feeling dry mouth'],,,['33% of people report feeling happy'],,,,['16% of people report feeling paranoid'],['16% of people say it helps with stress'],,,,['66% of people report feeling giggly'],,['66% of people report feeling relaxed'],,,,,,['33% of people report feeling tingly'],['66% of people report feeling hungry'],,,['16% of people say it helps with lack of appetite'],,['16% of people say it helps with nausea'],,,,,,['16% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,
Tiger's Milk,Indica,Unavailable,4.7,(153),108 people reported 775 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],,['17% of people say it helps with depression'],['6% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['60% of people report feeling euphoric'],,['46% of people report feeling happy'],['0% of people report feeling headache'],['21% of people say it helps with insomnia'],['28% of people say it helps with pain'],,['25% of people say it helps with stress'],['34% of people report feeling uplifted'],,,,,['65% of people report feeling relaxed'],,,,,['36% of people report feeling sleepy'],,,['0% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigermelon,Indica,Unavailable,3.0,(7),2 people reported 11 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],['50% of people report feeling creative'],['50% of people say it helps with depression'],,,['50% of people report feeling dry mouth'],,,['100% of people report feeling happy'],,,,,['50% of people say it helps with stress'],,,,,,['50% of people report feeling relaxed'],,,,,,,,,,,,,['50% of people say it helps with bipolar disorder'],,,,,,,,,,,,,,,,,,,,,,['50% of people say it helps with hypertension'],,,
Tigers Blood,Unavailable,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillamook Strawberry,Hybrid,THC 15%,4.5,(46),39 people reported 192 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['17% of people say it helps with anxiety'],,['10% of people say it helps with depression'],,,['12% of people report feeling dry mouth'],['33% of people report feeling euphoric'],['38% of people report feeling focused'],['64% of people report feeling happy'],,,,,['15% of people say it helps with stress'],['46% of people report feeling uplifted'],,,,,['48% of people report feeling relaxed'],,,,,,,,['2% of people report feeling anxious'],['12% of people say it helps with ptsd'],,,,['10% of people say it helps with bipolar disorder'],,,,,,,,,,,,,,,,,,,,,,,,,
Timber Kush,Unavailable,THC 20%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Reaper,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timewreck,Sativa,THC 18%,4.4,(141),104 people reported 775 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['41% of people report feeling creative'],['29% of people say it helps with depression'],['3% of people report feeling dizzy'],['10% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['60% of people report feeling euphoric'],,['56% of people report feeling happy'],['3% of people report feeling headache'],,['25% of people say it helps with pain'],,['27% of people say it helps with stress'],['51% of people report feeling uplifted'],,,,,,['43% of people report feeling energetic'],,,,,,,['9% of people report feeling anxious'],['16% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tina,Indica,THC 19%,4.7,(16),11 people reported 58 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['36% of people say it helps with anxiety'],,,,,,['45% of people report feeling euphoric'],['27% of people report feeling focused'],['54% of people report feeling happy'],,['18% of people say it helps with insomnia'],,,['36% of people say it helps with stress'],,,,,,['81% of people report feeling relaxed'],,['18% of people say it helps with inflammation'],['9% of people say it helps with cramps'],,['27% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
