strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Durga Mata II,Hybrid,Unavailable,4.3,(9),7 people reported 19 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['14% of people say it helps with anxiety'],,['14% of people say it helps with depression'],,['14% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],,['28% of people report feeling happy'],['14% of people say it helps with insomnia'],,,['57% of people report feeling relaxed'],['28% of people report feeling sleepy'],['28% of people say it helps with stress'],,,,['14% of people report feeling headache'],,,,['14% of people report feeling talkative'],,['14% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super G,Sativa,Unavailable,4.6,(8),4 people reported 21 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],,,['50% of people report feeling dizzy'],['25% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],,['50% of people report feeling happy'],,,['25% of people report feeling paranoid'],,,,['50% of people report feeling uplifted'],,['75% of people report feeling creative'],,['50% of people report feeling energetic'],,,,,,,['25% of people report feeling tingly'],,,,,,,,,,,,,['25% of people say it helps with add/adhd'],,,,,,,,,,,,,,
Blackberry Pie,Hybrid,THC 17%,4.6,(18),10 people reported 40 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['10% of people say it helps with anxiety'],,,,,['10% of people report feeling dry mouth'],['60% of people report feeling euphoric'],['30% of people report feeling happy'],,['20% of people say it helps with pain'],,['50% of people report feeling relaxed'],,,,['30% of people report feeling hungry'],['30% of people report feeling creative'],,,,,,,,,,['10% of people say it helps with nausea'],,,['10% of people say it helps with cramps'],,,,,['10% of people say it helps with migraines'],,,,,,,,,,,,,,,,,,
Dance World,Sativa,CBD 11%,4.5,(34),23 people reported 167 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['34% of people say it helps with anxiety'],,['21% of people say it helps with depression'],['4% of people report feeling dizzy'],,['8% of people report feeling dry mouth'],,['65% of people report feeling happy'],,['56% of people say it helps with pain'],,['60% of people report feeling relaxed'],,['52% of people say it helps with stress'],['43% of people report feeling uplifted'],,,['4% of people report feeling headache'],['39% of people report feeling energetic'],,,,['34% of people report feeling focused'],['26% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire Star,Hybrid,THC 23%,4.4,(25),14 people reported 118 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['7% of people report feeling anxious'],['28% of people say it helps with depression'],['7% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['7% of people report feeling dry mouth'],['42% of people report feeling euphoric'],['64% of people report feeling happy'],,['21% of people say it helps with pain'],['7% of people report feeling paranoid'],,,['35% of people say it helps with stress'],['57% of people report feeling uplifted'],,,,,,,,['50% of people report feeling focused'],['28% of people say it helps with headaches'],['21% of people say it helps with lack of appetite'],,,['50% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Haze,Hybrid,THC 16%,4.2,(57),41 people reported 310 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['29% of people say it helps with depression'],['12% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['41% of people report feeling euphoric'],['48% of people report feeling happy'],,['21% of people say it helps with pain'],,['51% of people report feeling relaxed'],,['29% of people say it helps with stress'],['43% of people report feeling uplifted'],,['43% of people report feeling creative'],['4% of people report feeling headache'],,['19% of people say it helps with fatigue'],,,,,['17% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire Scout,Hybrid,THC 22%,4.6,(16),9 people reported 57 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['11% of people report feeling anxious'],['11% of people say it helps with depression'],,['11% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['66% of people report feeling euphoric'],['77% of people report feeling happy'],['33% of people say it helps with insomnia'],['11% of people say it helps with pain'],,['88% of people report feeling relaxed'],['88% of people report feeling sleepy'],['22% of people say it helps with stress'],['44% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,['11% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
3D CBD,Sativa,Unavailable,4.4,(20),14 people reported 128 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['28% of people say it helps with depression'],,['7% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],,['57% of people report feeling happy'],,['64% of people say it helps with pain'],,['71% of people report feeling relaxed'],,['57% of people say it helps with stress'],['50% of people report feeling uplifted'],,,,,,,,['35% of people report feeling focused'],,,['28% of people report feeling tingly'],,,,,['35% of people say it helps with muscle spasms'],,['42% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Squirt,Hybrid,THC 17%,4.8,(6),5 people reported 7 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,['20% of people report feeling happy'],,,,,,,['20% of people report feeling uplifted'],,,,,,,['20% of people report feeling talkative'],['20% of people report feeling focused'],,,['20% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Mango,Hybrid,Unavailable,4.4,(15),14 people reported 93 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['14% of people say it helps with depression'],,['28% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['71% of people report feeling euphoric'],['64% of people report feeling happy'],,['21% of people say it helps with pain'],,['85% of people report feeling relaxed'],,['21% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,,,,,['21% of people say it helps with headaches'],['21% of people say it helps with lack of appetite'],,,,,,,,,,,,['57% of people report feeling aroused'],,,,,,,,,,,,,,,,
Black Label Kush,Indica,THC 21%,4.1,(32),19 people reported 170 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['63% of people say it helps with anxiety'],,,['10% of people report feeling dizzy'],['36% of people report feeling dry eyes'],['47% of people report feeling dry mouth'],['57% of people report feeling euphoric'],['52% of people report feeling happy'],['57% of people say it helps with insomnia'],['42% of people say it helps with pain'],,['42% of people report feeling relaxed'],['57% of people report feeling sleepy'],['68% of people say it helps with stress'],['26% of people report feeling uplifted'],,,['5% of people report feeling headache'],,,,,,,,,,,,,,,,,['31% of people say it helps with migraines'],,,,,,,,,,,,,,,,,,
Collins Ave,Hybrid,THC 26%,4.7,(3),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna Kush,Indica,THC 19%,4.7,(20),9 people reported 54 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['44% of people say it helps with anxiety'],,,['22% of people report feeling dizzy'],['22% of people report feeling dry eyes'],['11% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['55% of people report feeling happy'],['22% of people say it helps with insomnia'],['33% of people say it helps with pain'],,['88% of people report feeling relaxed'],['55% of people report feeling sleepy'],['22% of people say it helps with stress'],,,,,,,,,,,,['33% of people report feeling tingly'],,,,,,,,,,,,,['22% of people say it helps with add/adhd'],,,,,,,,,,,,,,
Caramelicious,Hybrid,THC 19%,4.2,(73),53 people reported 342 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],['1% of people report feeling anxious'],['15% of people say it helps with depression'],['3% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['67% of people report feeling happy'],,['24% of people say it helps with pain'],['3% of people report feeling paranoid'],['49% of people report feeling relaxed'],,['30% of people say it helps with stress'],['41% of people report feeling uplifted'],,,,,,,,['30% of people report feeling focused'],,,,['13% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
